Date,Close
1/2/2015 16:00,188.4
1/5/2015 16:00,185.09
1/6/2015 16:00,183.27
1/7/2015 16:00,185.56
1/8/2015 16:00,188.82
1/9/2015 16:00,187.23
1/12/2015 16:00,185.84
1/13/2015 16:00,185.35
1/14/2015 16:00,184.26
1/15/2015 16:00,182.54
1/16/2015 16:00,184.8
1/20/2015 16:00,185.26
1/21/2015 16:00,186.23
1/22/2015 16:00,189.08
1/23/2015 16:00,188.04
1/26/2015 16:00,188.41
1/27/2015 16:00,185.94
1/28/2015 16:00,183.49
1/29/2015 16:00,185.27
1/30/2015 16:00,182.99
2/2/2015 16:00,185.09
2/3/2015 16:00,187.79
2/4/2015 16:00,187.15
2/5/2015 16:00,189.05
2/6/2015 16:00,188.52
2/9/2015 16:00,187.66
2/10/2015 16:00,189.66
2/11/2015 16:00,189.79
2/12/2015 16:00,191.55
2/13/2015 16:00,192.39
2/17/2015 16:00,192.7
2/18/2015 16:00,192.74
2/19/2015 16:00,192.61
2/20/2015 16:00,193.78
2/23/2015 16:00,193.73
2/24/2015 16:00,194.3
2/25/2015 16:00,194.09
2/26/2015 16:00,193.87
2/27/2015 16:00,193.2
3/2/2015 16:00,194.47
3/3/2015 16:00,193.64
3/4/2015 16:00,192.83
3/5/2015 16:00,193.04
3/6/2015 16:00,190.31
3/9/2015 16:00,191.12
3/10/2015 16:00,187.98
3/11/2015 16:00,187.54
3/12/2015 16:00,189.96
3/13/2015 16:00,188.8
3/16/2015 16:00,191.38
3/17/2015 16:00,190.73
3/18/2015 16:00,193
3/19/2015 16:00,192.11
3/20/2015 16:00,193.85
3/23/2015 16:00,192.52
3/24/2015 16:00,191.4
3/25/2015 16:00,188.61
3/26/2015 16:00,188.14
3/27/2015 16:00,188.53
3/30/2015 16:00,190.88
3/31/2015 16:00,189.2
4/1/2015 16:00,188.59
4/2/2015 16:00,189.15
4/6/2015 16:00,190.48
4/7/2015 16:00,189.97
4/8/2015 16:00,190.66
4/9/2015 16:00,191.49
4/10/2015 16:00,192.54
4/13/2015 16:00,191.67
4/14/2015 16:00,192.02
4/15/2015 16:00,192.9
4/16/2015 16:00,192.83
4/17/2015 16:00,190.59
4/20/2015 16:00,192.33
4/21/2015 16:00,192.14
4/22/2015 16:00,193.09
4/23/2015 16:00,193.59
4/24/2015 16:00,193.98
4/27/2015 16:00,193.21
4/28/2015 16:00,193.81
4/29/2015 16:00,193.02
4/30/2015 16:00,191.1
5/1/2015 16:00,193.1
